sentence,annotation
Using campaign funds for personal use is a violation of federal campaign law.,<Fact_No_Appeal>Using campaign funds for personal use is a violation of federal campaign law.</Fact_No_Appeal>
The move by North Korea was the first of its kind since Trump took office January 20.,<Fact_No_Appeal>The move by North Korea was the first of its kind since Trump took office January 20.</Fact_No_Appeal>
It seems like her job had an insurance policy on her and she didn't even know.,<Fact_No_Appeal>It seems like her job had an insurance policy on her and she didn't even know.</Fact_No_Appeal>
"He knew that his own parents had been investigated by the caseworkers who picked him up, but the boy in the car was not the person whom protective services thought he was.","<Fact_No_Appeal>He knew that his own parents had been investigated by the caseworkers who picked him up, but the boy in the car was not the person whom protective services thought he was.</Fact_No_Appeal>"
"What was also interesting is that the shy ones that cried for their parents, would shine once the parent left.","<Fact_No_Appeal>What was also interesting is that the shy ones that cried for their parents, would shine once the parent left.</Fact_No_Appeal>"
So why are you opposed to so-called net neutrality?,So why are you opposed to so-called net neutrality?
"Anthony Weiner, D-N.Y., prompting then-FBI Director James Comey to briefly reopen the FBI's email probe only days before the presidential election on Nov. 8, 2016.","<Fact_No_Appeal>Anthony Weiner, D-N.Y., prompting then-FBI Director James Comey to briefly reopen the FBI's email probe only days before the presidential election on Nov. 8, 2016.</Fact_No_Appeal>"
The media will tell you there was no way we could have said that during the campaign.,<Fact_No_Appeal>The media will tell you there was no way we could have said that during the campaign.</Fact_No_Appeal>
Some people could feel blindsided by the looming changes.,<Fact_No_Appeal>Some people could feel blindsided by the looming changes.</Fact_No_Appeal>
All patients received their prescribed controller medications without change throughout the trial.,<Fact_No_Appeal>All patients received their prescribed controller medications without change throughout the trial.</Fact_No_Appeal>
"With that in mind, consider how this masking policy change will affect health risk and economic risk.","With that in mind, consider how this masking policy change will affect health risk and economic risk."
One recruit was a Mexican citizen who was willing to go to Iraq and fight for the United States in exchange for expedited citizenship.,<Fact_No_Appeal>One recruit was a Mexican citizen who was willing to go to Iraq and fight for the United States in exchange for expedited citizenship.</Fact_No_Appeal>
At least 800 U.S. servicemembers are currently stationed in the country to support a French-led mission to defeat militants in West Africa.,<Fact_No_Appeal>At least 800 U.S. servicemembers are currently stationed in the country to support a French-led mission to defeat militants in West Africa.</Fact_No_Appeal>
"And they made much of her diversity status as a ""young Asian woman.""","<Fact_No_Appeal>And they made much of her diversity status as a ""young Asian woman.""</Fact_No_Appeal>"
"With this assault on his deeply-held self-image, McCain swore revenge against Trump and worked vociferously to undermine his presidency during his life, then continued it beyond his death.","<Fact_No_Appeal>With this assault on his deeply-held self-image, McCain swore revenge against Trump and worked vociferously to undermine his presidency during his life, then continued it beyond his death.</Fact_No_Appeal>"
I still have that typewriter.,<Fact_No_Appeal>I still have that typewriter.</Fact_No_Appeal>
"They might find comfort in their body ""returning to nature,"" or want to take part in a conservation burial, where burial fees are also used to cover land protection, restoration and management.","<Fact_No_Appeal>They might find comfort in their body ""returning to nature,"" or want to take part in a conservation burial, where burial fees are also used to cover land protection, restoration and management.</Fact_No_Appeal>"
"He gets his shot away, but it's saved by Sanchez and earns a corner.","<Fact_No_Appeal>He gets his shot away, but it's saved by Sanchez and earns a corner.</Fact_No_Appeal>"
A report that President Trump asked CIA Director Mike Pompeo to meet with a former NSA employee who denies Russian interference in the U.S. election has drawn fire from two ex-intelligence chiefs.,<Source:Unnamed:Expert_Document>A report</Source:Unnamed:Expert_Document> that <Fact_Appeal:Indirect_Quote>President Trump asked CIA Director Mike Pompeo to meet with a former NSA employee who denies Russian interference in the U.S. election</Fact_Appeal:Indirect_Quote> <Fact_No_Appeal>has drawn fire from two ex-intelligence chiefs.</Fact_No_Appeal>
